"event_id","recorded_at_utc","run_id","phase","actor","category","outcome","evidence","human_minutes","notes"
"EVT-0001","2026-09-21T00:43:44Z","HDG-20260920-01","Preparation","Human Manager","management_decision","Recommendations accepted and execution instructed","docs/decisions/decision-log.md","","Recorded at first instrumented clock reading; approval occurred earlier in this user turn; exact approval time unknown"
"EVT-0002","2026-09-21T00:44:38Z","HDG-20260920-01","Preparation","Agent","autonomous_execution","Local read-only preflight and three delegated workstreams started","docs/environment-readiness.md","","Git and Node usable; other delivery capabilities partly unverified; no user setup requested"
"EVT-0003","2026-09-21T00:55:40Z","HDG-20260920-01","Preparation","Agent","autonomous_execution","Prompt revision and records completed with fourteen tabletop scenarios","docs/reviews/workflow-rehearsal.md","","Manual agent inspection; no empirical platform or human acceptance claim"
"EVT-0004","2026-09-21T00:55:40Z","HDG-20260920-01","Preparation","Agent","autonomous_recovery","Structural validation passed after completing missing evidence record and correcting comparison-table scope","docs/evidence/preparation-validation.md","","Initial failures retained; all seventeen existing Power BI files preserved; no human technical intervention"
"EVT-0005","2026-09-21T00:55:40Z","HDG-20260920-01","Phase 1","Agent","autonomous_execution","Twelve-candidate unranked portfolio and framework v1.0 prepared","docs/gates/gate-1-portfolio-review.md","","Awaiting manager framework decision; no scores or formal triage; human effort unknown"
"EVT-0006","2026-09-21T01:02:44Z","HDG-20260920-01","Gate 1","Human Manager","management_decision","Framework v1.0 approved unchanged with experiment-specific value/cost rationale","docs/gates/gate-1-portfolio-review.md","","Exact message time unavailable; source excerpt preserved; authorizes triage only; not a technical intervention"
"EVT-0007","2026-09-21T01:13:05Z","HDG-20260920-01","Phase 2","Agent","autonomous_execution","All twelve candidates triaged and Gate 2 v1.0 prepared","docs/portfolio/triage.md","","One delegated reviewer challenged value eligibility; explicit fictional premises proposed for manager adoption; no scoring or selected project; Gate 2 pending"
"EVT-0008","2026-09-21T01:18:53Z","HDG-20260920-01","Gate 2","Human Manager","management_decision","Package v1.0 approved unchanged with one-human and public-or-synthetic-data clarification","docs/gates/gate-2-triage-review.md","","First instrumented record; exact message timestamp unavailable; all dispositions and SCN-01/02/04 adopted; authorizes Phase 3 only; management clarification not technical intervention"
"EVT-0009","2026-09-21T01:32:50Z","HDG-20260920-01","Phase 3","Agent","autonomous_recovery","Corrected local snapshot reference and inspection/patch commands; closed pending evidence link","docs/evidence/prioritization-validation.md","","Failures and successful local checks retained; no human technical intervention or platform test claim"
"EVT-0010","2026-09-21T01:32:50Z","HDG-20260920-01","Phase 3","Agent","autonomous_execution","Compared approved survivors and prepared Gate 3 v1.0 with draft charter and separate solo-lab/data estimates","docs/gates/gate-3-project-selection.md","","Three delegated workstreams and integrated review; OPP-02 recommended within practical tie; Gate 3 pending; no selected project or architecture; actual human effort and total cash unknown"
"EVT-0011","2026-09-21T03:14:38Z","HDG-20260920-01","Gate 3 review","Human Manager","management_decision","Requested opportunity-cost addendum and scorecard; clarified existing GCP allowance and excluded standing Pro and report publication","docs/decisions/decision-log.md","","Exact message timestamp unavailable; approximately 30 USD/month allowance and GCP optimization focus; charter re-review pending; not selection approval or technical intervention"
"EVT-0012","2026-09-21T03:23:47Z","HDG-20260920-01","Gate 3 review","Agent","autonomous_execution","Prepared opportunity-cost addendum and scorecard; revised Gate 3 charter and cost narrative to v1.1","docs/evidence/selection-follow-up-validation.md","","Two delegated reviews; original submissions preserved; approved scores unchanged; no proven experimental-learning winner between OPP-01/02; documentation and arithmetic checks pass; no architecture or cloud execution"
"EVT-0013","2026-09-21T03:36:30Z","HDG-20260920-01","Gate 3","Human Manager","management_decision","Selected OPP-02 and approved charter v1.1 unchanged with existing conditions","docs/gates/gate-3-project-selection.md","","Non-trivial business/design choices and proportional cost motivated decision; greater hypothetical value than OPP-01; exact message timestamp unavailable; architecture only authorized"
